Gene
TP53
DNMT3A
MMP2
ABCB1
HDAC4
CREBBP
CYP3A4
EZH2
MDM2
KMT2A
EP300
NSD2
MECP2
KDM5C
NEU1
SETD2
NR1I2
HDAC8
SIRT1
SMARCA4
ARID4A
DNMT1
BRD4
TP53BP1
HDAC9
NSD3
KDM6A
DNMT3B
KDM1A
PRKCD
SMARCA2
HDAC3
SIRT6
PRKCA
MLLT3
NGLY1
KAT5
SMN1
HDAC1
FOLH1
KMT5B
KAT2B
HDAC2
JMJD1C
SLC13A5
MAN2C1
HDAC5
KAT2A
TULP1
NCOA3
MSR1
FDFT1
PPM1A
HADHB
RBBP4
CBX5
SIRT2
PRMT5
PPARGC1B
TRIM28
HEXA
CS
KDM5A
HEXB
RBBP7
SUV39H1
CBX1
UHRF1
CBX3
BAZ1A
PHIP
KAT8
ADCY1
PHF8
SCP2
NCOA1
KDM5B
HDAC7
BRD2
PLA2G7
OGA
KDM2B
SLC33A1
SIRT7
PDK4
SUV39H2
ACACA
LPCAT1
HLCS
CCKBR
PRKAG2
SP140
PDK2
CHTOP
PDK1
TRIM24
PRMT8
TRIM33
BRD3
PSIP1
SPIN1
WDR77
ZMYND8
SETMAR
CARM1
HDAC11
TAF3
PRMT6
CBX8
KDM3A
ACLY
HDAC10
MBD2
KDM1B
NCEH1
OARD1
SMNDC1
PAOX
CBX6
CCKAR
BRD8
NAGK
OPRK1
PRKAG1
B3GNT2
ING2
SIRT5
NAALAD2
